repair_count,open_repair_count,asset_age_years,warranty_days_remaining,active_hours_30d,crash_count_30d,battery_health_percent,maintenance_within_30_days
0,0,1.5022,720,572,3,65.93,0
1,0,3.0981,3,501,6,68.2,1
1,0,5.5251,339,590,3,48.52,0
3,1,7.2291,55,203,4,65.86,0
3,1,1.1992,387,637,2,58.62,0
4,1,5.5215,343,338,5,85.57,0
1,2,4.8937,259,330,7,89.52,1
1,1,3.3756,679,208,7,49.6,1
1,0,1.2392,587,232,1,54.37,0
2,0,1.8138,603,644,0,98.17,0
2,1,4.6578,490,649,7,86.24,0
2,0,5.0765,449,548,4,86.48,0
3,0,1.8163,129,400,6,45.62,1
8,1,8.4829,528,495,6,72.9,1
1,2,2.1455,518,361,2,57.42,1
0,1,1.1727,517,709,2,53.62,1
1,1,5.4575,641,706,8,97.78,0
0,1,6.1232,443,702,8,75.27,1
3,0,8.1827,564,481,10,49.69,1
2,1,2.7227,387,628,5,91.85,0
1,0,3.4187,259,526,2,63.48,1
0,0,3.4977,105,228,3,76.54,0
2,1,0.6512,713,621,9,90.14,0
2,0,1.1085,64,101,4,83.81,0
4,0,1.4861,222,548,2,66.71,0
1,1,7.3932,3,629,7,70.56,1
6,4,4.4123,415,597,4,93.18,1
0,3,7.8334,559,456,2,77.75,1
0,1,7.0694,409,311,3,97.02,1
1,0,6.8692,445,713,7,57.14,1
5,2,3.1008,119,133,4,48.82,0
3,1,7.8384,604,247,5,64.6,1
3,0,7.475,561,676,4,58.41,1
1,0,5.6586,134,475,3,79.85,1
2,1,5.0081,210,487,4,47.82,0
1,0,2.2072,490,264,3,87.12,0
1,0,4.4149,717,425,6,52.79,0
0,1,7.0054,573,281,4,92.71,1
1,0,1.3767,22,341,3,79.87,0
2,2,8.3942,78,323,5,69.58,1
1,0,8.2792,725,679,4,78.29,1
1,1,5.6992,88,97,2,69.01,0
1,1,2.8057,637,672,7,84.71,0
2,0,5.3393,434,679,8,61.04,1
1,1,1.0558,518,387,7,70.09,0
1,1,5.7769,172,89,5,67.66,1
1,1,2.5538,-28,85,5,92.36,1
2,1,6.9231,665,103,4,49.9,1
0,0,0.6944,715,335,5,98.12,0
1,0,1.7715,248,693,4,95.14,0
5,0,0.5698,671,522,5,75.9,1
6,2,3.4738,562,640,5,49.13,1
2,0,5.0057,17,669,6,56.78,1
2,0,2.906,662,669,3,56.16,0
1,1,8.3419,548,655,4,52.95,1
1,1,7.8096,38,99,8,94.74,0
4,0,2.1984,349,135,4,66.4,0
0,0,1.448,106,219,5,75.42,0
6,0,2.5026,396,685,1,84.35,0
2,0,5.9238,395,565,5,78.24,0
3,1,4.9535,252,216,2,61.08,0
6,0,8.0041,326,242,2,72.84,1
0,0,7.1298,460,272,3,65.04,0
3,0,7.6658,406,208,8,84.68,1
2,1,1.6468,561,592,4,68.22,0
3,2,1.4836,387,520,5,91.85,0
1,0,8.1403,132,526,0,90.93,1
1,0,3.4588,631,114,5,87.07,0
2,1,3.3342,26,550,1,58.78,1
2,1,4.7536,519,468,7,78.08,0
1,2,7.9631,12,583,3,83.34,1
1,0,5.4466,229,402,4,45.11,1
1,0,3.8656,338,567,1,45.36,0
3,0,6.1448,638,719,4,66.44,1
3,2,2.3211,292,665,1,68.5,0
3,0,3.3129,198,570,2,72.43,1
5,2,5.1682,168,343,4,62.16,1
2,0,2.7317,681,455,6,88.27,0
4,1,5.4234,401,186,5,76.7,0
2,0,2.9903,-16,588,4,65.33,1
4,4,2.5081,546,206,5,64.56,1
6,0,6.4982,7,610,6,75.97,1
3,1,5.5623,145,136,5,77.36,1
2,1,4.4115,586,371,2,48.31,1
0,0,8.3191,230,540,1,47.96,0
1,0,2.9317,533,407,7,92.0,0
4,0,3.782,289,430,2,53.77,0
2,2,4.1548,594,639,7,62.47,1
1,3,7.1903,131,350,7,48.09,1
3,0,4.467,525,612,7,48.98,1
